Name,Code,Type,Desc
OprUserCode,1,C,操作员
OprMode,2,C,操作方式
OprStation,3,C,操作站点
OprOrgNo,4,C,操作员机构
OrgNo,5,C,机构编号
FID_BCZJYE,501,C,本次资金余额
FID_BFXJJ,502,C,买风险金
FID_BGHF,503,C,买过户费
FID_BJE,504,C,买入金额
FID_BJSF,505,C,买经手费
FID_BPGDH,506,C,报盘股东号
FID_CODE,507,C,返回码
FID_MESSAGE,508,C,返回说明
FID_BSL,509,C,买入数量
FID_BYHS,510,C,买印花税
FID_BZ,511,C,币种
FID_BZBM,512,C,币种编码
FID_BZGF,513,C,买证管费
FID_BZMC,514,C,币种名称
FID_CBBD,515,R,成本变动
FID_MENUID_HC,516,I,互斥的菜单系统代码
FID_HLJE,517,R,红利金额
FID_CDMC,518,C,菜单名称
FID_CDTIME,519,C,菜单可用时间
FID_CDTS,520,C,菜单提示
FID_CDWZID,521,C,菜单位置ID
FID_CJBH,522,C,成交编号
FID_CJGY,523,C,创建柜员
FID_CJJE,524,C,成交金额
FID_CJJG,525,C,成交价格
FID_CJRQ,526,C,成交日期
FID_CJSJ,527,C,成交时间
FID_CJSL,528,C,成交数量
FID_CKLL,529,C,存款利率
FID_YKBD,530,R,盈亏变动
FID_CSZ,531,C,参数值
FID_DH,532,C,电话
FID_DJLB,533,C,冻结类别
FID_DH_SQCZR,534,C,授权操作人电话
FID_DZ_SQCZR,535,C,授权操作人地址
FID_MM_SQCZR,536,C,授权操作人密码
FID_QX_SQCZR,537,C,授权操作人权限
FID_XWID,538,I,席位编号
FID_XM_SQCZR,539,C,授权操作人姓名
FID_DRMCCJJE,540,C,当日卖出成交金额
FID_DRMCCJSL,541,C,当日卖出成交数量
FID_DRMCJDZJ,542,C,当日卖出解冻资金
FID_DRMCWTSL,543,C,当日卖出委托数量
FID_DRMRCJJE,544,C,当日买入成交金额
FID_DRMRCJSL,545,C,当日买入成交数量
FID_DRMRDJZJ,546,C,当日买入冻结资金
FID_DRMRWTSL,547,C,当日买入委托数量
FID_DRQS,548,C,当日已成交的清算资金
FID_DTB,549,C,跌停板
FID_DZ,550,C,地址
FID_DZLX,551,C,待转利息
FID_EMAIL,552,C,电子邮件
FID_EN_BZ,553,C,可操作的币种
FID_EN_JYS,554,C,可操作的交易所
FID_EN_KHH,555,C,可操作的客户号
FID_EN_KHQZ,556,C,允许操作的客户群组
FID_EN_YYB,557,C,允许操作的营业部
FID_EN_ZQLB,558,C,可操作的证券类别
FID_EX_KHH,559,C,不可操作的客户号
FID_EX_KHQZ,560,C,禁止操作的客户群组
FID_EX_YYB,561,C,禁止操作的营业部
FID_EX_ZQLB,562,C,禁止证券类别范围
FID_FATHERID,563,C,父菜单
FID_AUTOSAVE,564,I,自动保存
FID_FKEY,565,C,加速键
FID_FLDM,566,C,数据字典分类代码
FID_FLMC,567,C,数据字典分类名称
FID_FLTSL,568,C,非流通数量
FID_FSYYB,569,C,发生营业部
FID_FWXM,570,C,服务项目
FID_GDH,571,C,股东号
FID_GDLB,572,C,股东类别
